# Thermodynamic data from initial.lmp
#          Step             Temp           TotEng           PotEng           KinEng            Press
             9800        0.9824661        1.1858629      -0.28691517        1.4727781      0.022432086
             9850        1.0365167        1.2619312      -0.29187216        1.5538034      0.022892557
             9900       0.99475092        1.1980609       -0.2931329        1.4911938      0.020211901
             9950         1.001743        1.2184046      -0.28327077        1.5016754      0.022558743
            10000        1.0405337        1.2569344      -0.30289071        1.5598251      0.021993867
            10050        1.0092191        1.2229607      -0.28992185        1.5128826      0.021912326
            10100       0.98397727        1.1811171      -0.29392636        1.4750434      0.022136627
            10150       0.97338461        1.1627444      -0.29641999        1.4591644      0.020993975
            10200       0.97520448        1.1683207      -0.29357173        1.4618925      0.021568551
            10250       0.99618024        1.2048118      -0.28852465        1.4933364      0.021847717
            10300        1.0024354        1.1971456       -0.3055677        1.5027133      0.021031835
            10350        1.0080754        1.2075432      -0.30362484         1.511168      0.021357658
            10400        1.0060999        1.2087356      -0.29947104        1.5082067       0.02168043
            10450        1.0121895        1.2102222      -0.30711303        1.5173353       0.02150052
            10500        1.0214246        1.2246625      -0.30651682        1.5311793      0.021043441
            10550        1.0063577        1.2092131      -0.29937989         1.508593      0.021351662
            10600        1.0126077        1.2222525      -0.29570969        1.5179622      0.022663232
            10650        1.0117332        1.2258407      -0.29081054        1.5166512      0.023310994
            10700        1.0646792        1.2963161      -0.29970458        1.5960207      0.023847674
            10750        1.0106911        1.2160713      -0.29901785        1.5150891      0.020957579
            10800       0.99815926        1.2026595       -0.2936436        1.4963031       0.02091339
            10850          1.02974        1.2529977      -0.29064697        1.5436447      0.021556268
            10900       0.98615102        1.1928363      -0.28546573         1.478302      0.021098709
            10950       0.99336513         1.200704      -0.28841247        1.4891164      0.021143725
            11000       0.99533334        1.2092658      -0.28280113        1.4920669      0.021609572
